amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
;;;;;Storage Space;;,Cable / TV;Internet;,No,Yes,Yes,Yes,Limited,Yes,Outdoors only,Yard;Balcony;,1;050,2,1 Year,2,1,Apartment,Please Contact,Nova Scotia 329; Hubbards; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;;,,No,,,,Limited,No,No,,1;033,0,1 Year,2,2,Apartment,$2595,7037 Mumford Rd; Halifax; NS; B3L 2J1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,Yard;Balcony;,Not Available,1,1 Year,3,1,Apartment,$3150,13 Edgehill Road; Halifax; NS; B3N 1G5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,Yes,Yes,No,Yes,No,No,No,,132,0,Month-to-month,1,1,Apartment,$850,Halifax; NS B3H,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,,,,No,No,No,Yard;Balcony;,Not Available,2,1 Year,3,3.5,Townhouse,$3300,Bently Drive; Halifax; NS; B3S 0A9,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,No,No,,Not Available,1,1 Year,1,1,Apartment,$2275,Bishop Street; Halifax; NS; B3J 1C9,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Limited,Yes,No,;Balcony;,1;196,1,1 Year,2,2,Apartment,$2495,Walter Havill Drive; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,,680,1,1 Year,1,1,Apartment,$1350,27 Evans Avenue; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;;,,No,,,,Limited,No,No,,564,0,1 Year,1,1,Apartment,$2125,6016 Pepperell Street; Halifax; NS; B3H 2N8,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;437,0,1 Year,2 + Den,2,Apartment,$4195,5450 Kaye Street; Halifax; NS; B3K 0G7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,No,No,;Balcony;,1;050,1,1 Year,2,1.5,Condo,$2500,B3L 4S1; Canada,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;Concierge;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,,400,0,1 Year,Bachelor/Studio,1,Apartment,$1495,1263 Queen Street; Halifax; NS,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Yes,No,No,;Balcony;,Not Available,1,1 Year,1,1,Apartment,$1600,303-33 McFatridge Road; Halifax; NS; B3N 2R2,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Limited,Yes,No,Yard;Balcony;,Not Available,1,1 Year,1,1,Apartment,$1550,2026A Kline Street; Halifax; NS; B3L 2X3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,1,1 Year,1,1,Apartment,$1800,77 - Lower Executive Drive; Sackville; NS; B4E 3A7,Laundry (In Unit),,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Yes,Yes,No,;Balcony;,850,1,Month-to-month,2,2,Condo,$2500,Halifax; NS B3N 1K7,Laundry (In Unit),,
,,No,,,,Limited,Yes,No,Yard;;,1;700,2,1 Year,2 + Den,2,House,$3350,Halifax; NS B3P 2B3,Laundry (In Unit),,
,,No,Yes,Yes,Yes,No,No,No,;Balcony;,599,0,1 Year,1,1,Apartment,$1600,Carlton Street; Halifax; NS,,,Fridge / Freezer
,,No,Yes,Yes,Yes,No,No,Outdoors only,Yard;;,Not Available,1,1 Year,1,1,Apartment,$1350,3511 Windsor St.; Halifax; NS; B3K 5G6,,,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Outdoors only,;Balcony;,Not Available,1,1 Year,2,1,Apartment,$1595,6 Ford St; Halifax; NS; B3M 2M6,Laundry (In Building),,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Yes,Yes,No,;Balcony;,2;020,0,1 Year,2,2,Apartment,$6600,Hollis Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;;Storage Space;Elevator in Building;,;Internet;,Yes,Yes,No,Yes,No,Yes,No,,890,1,1 Year,1,1,Condo,$2850,1445 South Park Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,,750,0,1 Year,2,1,Apartment,$1799,6071 Shirley Street; Halifax; NS,Laundry (In Building),,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,,500,0,1 Year,1,1,Apartment,Please Contact,Halifax; NS B3M 1C3,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,Outdoors only,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$1595,2360 Hunter St.; Halifax; NS; B3K 4V6,Laundry (In Unit),,Fridge / Freezer
;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,,740,0,1 Year,1,1.5,Apartment,$2245,Birmingham Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;Pool;Concierge;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,,,,No,No,Outdoors only,;Balcony;,720,0,1 Year,1,1,Apartment,$2080,Halifax; NS B3J 3J7,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,1;350,0,1 Year,2,2,Apartment,$3025,Tower Road; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,600,0,1 Year,1,1,Apartment,$2125,Queen Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Yes,Yes,No,,1;000,0,1 Year,2,2,Apartment,$2999,1027 South Park Street; Halifax; NS; B3H 2W2,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,1 + Den,1,Apartment,Please Contact,230 Larry Uteck Blvd; Bedford; NS; B3N 0N1,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1839,85 Westgrove; 241 Willett Street; 235 Willett Street; Halifax; NS; B3M 3L7,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;437,0,1 Year,2 + Den,2,Apartment,$4195,5450 Kaye Street; Halifax; NS; B3K 0G7,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,4;400,0,1 Year,3,3,House,$3995,12 Palmer Hill; Halifax; NS; B3N 1S5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,No,,800,0,1 Year,2,1,Apartment,$2599,2100 Poplar Street; Halifax; NS; B3L 2Y7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,,450,0,1 Year,1,1,Basement,$1549,3103 Connaught Avenue; Halifax; NS; B3L 3A8,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,Outdoors only,;Balcony;,750,0,1 Year,2,1,Apartment,$2509,5713 Victoria Rd; Halifax; NS; B3H 2Y3,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,,600,0,1 Year,1,1,Apartment,$1799,5670 Inglis Street; Halifax; NS; B3H 1K3,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,,805,0,1 Year,1,1,Basement,$2099,1029 South Park Street; Halifax; NS; B3H 1M1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,,550,0,1 Year,1,1,Apartment,$1799,6056 South Street; Halifax; NS; B3H 1T1,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,Outdoors only,;Balcony;,550,0,1 Year,1,1,Apartment,$1799,5713 Victoria Road; Halifax; NS; B3H 2Y3,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,Yes,Yes,No,,500,0,1 Year,1,1,Apartment,$2149,5726 Inglis St; Halifax; NS; B3H 1K4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,,800,0,1 Year,2,1,Apartment,$2099,3693 Windsor Street; Halifax; NS; B3K 5G7,Laundry (In Building),,Fridge / Freezer
,,No,Yes,Yes,Yes,Yes,No,Outdoors only,,450,0,1 Year,Bachelor/Studio,1,Apartment,$1549,6060 South Street; Halifax; NS; B3H 1T1,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,,300,0,1 Year,Bachelor/Studio,1,Apartment,$1529,5375 Rector Street; Halifax; NS; B3K 2N6,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Yes,Yes,No,;Balcony;,600,0,1 Year,1,1,Apartment,$1829,6140 Lady Hammond Road; Halifax; NS; B3K 2R5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,,500,0,1 Year,1,1,Apartment,$2149,6060 South Street; Halifax; NS; B3H 1T1,Laundry (In Unit),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,Outdoors only,;Balcony;,800,0,1 Year,2,1.5,Apartment,$2599,5713 Victoria Rd; Halifax; NS; B3H 2Y3,Laundry (In Building),,Fridge / Freezer
;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,No,No,Yes,Yes,Yes,No,Yard;;,400,0,1 Year,1,1,Apartment,$1699,432 Herring Cove Road; Halifax; NS; B3R 1W4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,No,Yard;;,500,0,1 Year,2,1,Apartment,$2050,2 McIntosh St; Halifax; NS; B3R 1G8,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Yes,Yes,No,Yard;Balcony;,2;700,3+,1 Year,4,2,House,$1000,11 Rocklyn Road; Halifax; NS; B3P 2H8,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,Outdoors only,;Balcony;,650,1,1 Year,2,1,Apartment,$1450,Halifax; NS B3N,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,;Balcony;,650,0,1 Year,1,1,Apartment,$1795,Kencrest Avenue; Halifax; NS,Laundry (In Unit),,
,,No,,,,Limited,Yes,Outdoors only,;Balcony;,700,1,1 Year,2,1,Basement,$1800,Connaught Avenue; Halifax; NS,Laundry (In Unit),,Fridge / Freezer
,,No,No,No,Yes,Yes,Yes,No,Yard;Balcony;,1;500,1,1 Year,2,1,Duplex/Triplex,$2250,Deal Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,;Balcony;,1,1,1 Year,2 + Den,1.5,Duplex/Triplex,$1600,Halifax; NS B3M 4S3,Laundry (In Building),,Fridge / Freezer
,,Yes,,,,No,Yes,No,,500,0,1 Year,1,1,Apartment,Please Contact,5536 Nora Bernard St; Halifax; B3K 1B2,,,
,Cable / TV;Internet;,Yes,Yes,Yes,Yes,No,No,No,,900,1,1 Year,1,1,House,$700,Portuguese Cove; NS B3V 1K2,Laundry (In Building),,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,Outdoors only,,600,1,1 Year,1,1,Apartment,Please Contact,Cowie Hill Rd; Halifax; B3P 2M7,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,Yes,Yes,No,No,Yes,Yard;;,400,0,1 Year,Bachelor/Studio,1,Apartment,$1550,Halifax; NS B3H 4K2,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,Yes,Yes,Yes,Yes,Yes,Outdoors only,,600,1,1 Year,Bachelor/Studio,1,Apartment,$1800,6089 Jubilee Road; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;Concierge;;;;;,,Yes,Yes,Yes,Yes,Limited,Yes,No,;Balcony;,Not Available,2,1 Year,2,2,Condo,$4000,Lower Water St; Halifax; NS; B3J 3Z3,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,660,0,1 Year,1,1,Apartment,$1970,1030 South Park Street; Halifax; NS; B3J 2K9,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,807,0,1 Year,2,1,Apartment,$2540,2334 Longard Plaza; Halifax; NS; B3K 5K6,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,507,0,1 Year,Bachelor/Studio,1,Apartment,$1750,2074 Robie Street; Halifax; NS; B3K 5L3,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,950,0,1 Year,2,1,Apartment,$2735,1030 South Park Street; Halifax; NS; B3J 2K9,Laundry (In Building),,Fridge / Freezer
;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,1;400,0,1 Year,2 + Den,2,Apartment,Please Contact,3807 Mont Blanc Terrace; Halifax; NS; B3K 6R9,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;Pool;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,659,0,1 Year,1,1,Apartment,$1895,1991 Brunswick Street; Halifax; NS; B3J 3L8,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,Yard;;,800,1,1 Year,3,1,Apartment,$2700,Seaforth Street; Halifax; NS,Laundry (In Building),,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,Yard;Balcony;,1;800,3+,1 Year,3 + Den,2,House,$2900,Timberlea; NS B3T 1E4,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,,,,No,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$1995,5620 South Street; Halifax; NS; B3J 0A7,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$2795,1471 South Park Street; Halifax; NS; B3J 0J7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,,,,,,,,,,,,,,,$1387,Dresden Row; Halifax; NS B3J 4A2,,,
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1015 Barrington Street; Halifax; NS; B3H 4R4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,4;400,0,1 Year,3,3,House,$3995,12 Palmer Hill; Halifax; NS; B3N 1S5,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Limited,Yes,Outdoors only,;Balcony;,700,1,1 Year,1,1,Apartment,$1695,3210 Agricola Street; Halifax; NS,Laundry (In Unit),,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,No,No,No,Yes,Yes,Yes,Outdoors only,Yard;;,1;000,2,1 Year,2,2,Apartment,$2200,Hammonds Plains; NS B3Z 1J7,Laundry (In Building),Dishwasher,Fridge / Freezer
,;Internet;,No,No,No,Yes,Yes,Yes,Outdoors only,Yard;;,900,1,1 Year,1,1,Apartment,$1800,Hammonds Plains; NS B3Z 1J7,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,Yard;Balcony;,Not Available,2,1 Year,3,1,Townhouse,$2300,Thornhill Drive; Halifax; NS; B3R 2B4,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;;;;,;Internet;,Yes,Yes,Yes,Yes,No,No,No,;Balcony;,Not Available,1,1 Year,2,2,Condo,$3900,South Park Street; Halifax; NS; B3J 0B0,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,No,Yard;Balcony;,Not Available,1,1 Year,4,1.5,House,$4000,Robie Street; Halifax; NS; B3H 3E7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,Yard;;,Not Available,2,1 Year,3,1,Apartment,$1950,Paul David Court; Dartmouth; NS; B2X 2Y8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,,Not Available,0,1 Year,2,1,Apartment,$2150,John Street; Halifax; NS; B3K 4K6,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,,900,1,1 Year,2,1,Apartment,$1865,Halifax; NS B3M 3L9,Laundry (In Building),Dishwasher,
,,No,Yes,Yes,Yes,Limited,No,No,Yard;;,1;200,0,1 Year,2,1,Apartment,$2100,Auburn Ave; Halifax; NS B3R 1K4,Laundry (In Building),Dishwasher,
,,No,,,,No,Yes,No,;Balcony;,2;396,2,1 Year,3,3.5,Townhouse,$3300,129 Eliza Ritchie Crescent; Halifax; NS; B3M 0K5,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;;,,No,No,No,Yes,Limited,No,Outdoors only,;Balcony;,950,1,1 Year,2,1,Apartment,$2400,Victoria Rd; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,Yes,Yes,Yes,Yes,No,No,Outdoors only,,1,0,1 Year,2,2,House,$2700,Halifax; NS B3H 3H3,,,Fridge / Freezer
,,No,No,No,Yes,No,No,No,Yard;Balcony;,Not Available,1,1 Year,3,1.5,Townhouse,$2395,28-38 LYONS AVE; HALIFAX; NS; B3P 1H6,,Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,2,1.5,Apartment,$4595,1471 South Park Street; Halifax; NS; B3J 0J7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,Yard;Balcony;,1;200,0,1 Year,3,1.5,Townhouse,$3300,Chebucto Road; Halifax; NS,Laundry (In Unit),,
,,Yes,,,,Yes,No,Outdoors only,,2;100,2,1 Year,3 + Den,4,Townhouse,$2600,Hammonds Plains; NS B3Z 1N7,Laundry (In Unit),,
Gym;;;24 Hour Security;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$1995,15 Bently Drive; Halifax; NS; B2S 0G2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,Yes,Yes,No,Yes,No,,Not Available,0,1 Year,2,1,Apartment,$2200,Almon Street; Halifax; NS; B3L 1V8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,Yes,Yes,Yes,Yes,No,Yes,No,Yard;Balcony;,Not Available,3+,1 Year,4,3.5,House,$4000,Peregrine Crescent; Bedford; NS; B4A 3B9,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;;;Elevator in Building;,;Internet;,Yes,Yes,Yes,Yes,No,Yes,No,;Balcony;,Not Available,1,1 Year,1 + Den,1,Condo,$2950,Dresden Row; Halifax; NS; B3J 2K2,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,$1975,634 Parkland Drive; Halifax; NS; B3S 1M8,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,2 + Den,2,Apartment,$2300,16 Bently Drive; Halifax; NS; B3S 0G9,Laundry (In Unit),,
Gym;;;24 Hour Security;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,,Not Available,0,1 Year,2,1,Apartment,$2050,41 Cowie Hill Road; Halifax; NS; B3P 2M7,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;Storage Space;;,,No,No,No,Yes,Yes,No,No,,620,0,1 Year,1,1,Apartment,$1995,2077 Brunswick Street; Halifax; NS; B3K 5T8,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,Outdoors only,,1;250,1,1 Year,2 + Den,2,Townhouse,$2450,3626 Deal St; Halifax; NS B3N 2Y5,,,
,;Internet;,Yes,Yes,Yes,Yes,Yes,Yes,No,;Balcony;,1;800,2,Month-to-month,3,2.5,House,$99,Herring Cove Road; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,Limited,No,No,,600,0,1 Year,1,1,Apartment,$1760,Halifax; NS B3H 2K5,Laundry (In Building),,Fridge / Freezer
,;Internet;,Yes,No,No,Yes,No,No,No,Yard;Balcony;,1;800,3+,1 Year,3,1,House,$2300,Seabright; NS B3Z 2Y1,Laundry (In Unit),,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,900,0,1 Year,1 + Den,1,Apartment,$2095,5511 Bloomfield Street; Halifax; NS,,,
,,No,Yes,Yes,Yes,No,No,No,Yard;;,400,1,1 Year,Bachelor/Studio,1,Apartment,$1000,Halifax; NS B3P 1K6,Laundry (In Building),,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,Yes,Yes,Yes,Limited,Yes,No,,575,0,1 Year,Bachelor/Studio,1,Apartment,$1550,5266 Green Street; Halifax; NS,Laundry (In Building),,Fridge / Freezer
,,Yes,,,,Yes,Yes,No,,954,2,1 Year,2,1,House,$2800,6371 Norwood St; Halifax; NS B3H 2L2,,,
