amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
,,No,Yes,No,Yes,Yes,No,No,Yard;Balcony;,500,1,1 Year,1,1,Apartment,$1890,Connaught Avenue; Halifax; NS,Laundry (In Unit),,
;;;;;;Elevator in Building;,,Yes,No,No,Yes,No,No,No,,500,0,1 Year,1,1,Condo,$2050,Halifax; NS B3K 0C5,Laundry (In Unit),,Fridge / Freezer
,,No,No,No,Yes,No,No,No,Yard;;,1;800,1,1 Year,3 + Den,2.5,House,$4800,Creighton St; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,Yes,,,,Limited,Yes,Outdoors only,;Balcony;,1;250,1,Month-to-month,1 + Den,1,Apartment,Please Contact,Abbey Rd; Halifax; B3P 2M6,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,,100,1,Month-to-month,Bachelor/Studio,1,Apartment,$1495,Halifax; NS B3H 2W8,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,Yes,No,Yard;Balcony;,2;352,3+,1 Year,3 + Den,3.5,Townhouse,$2500,Halifax; NS B3J,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,;Balcony;,Not Available,3+,1 Year,3,2.5,House,$5500,Brecken Ridge Lane; Lower Sackville; NS; B4C 4G9,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,No,Yes,Yes,Yes,Yes,Yes,No,,800,0,Month-to-month,1,1,Apartment,$1800,Chambers Court; Halifax; NS,Laundry (In Unit),,
,,No,,,,Limited,No,Outdoors only,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$1250,137; 145; and 149 Walker Avenue; Lower Sackville; NS; B4C 4C2,,Dishwasher,
,Cable / TV;Internet;,Yes,Yes,Yes,Yes,Yes,Yes,Outdoors only,;Balcony;,1;032,2,1 Year,2,1.5,House,$1275,Halifax; NS B3J,,,
,,No,,,,Limited,Yes,No,Yard;Balcony;,2;000,2,1 Year,4,3.5,Townhouse,$3200,NS-102; Halifax; NS; B3K 4R2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,,750,0,1 Year,1,1,Apartment,$1600,5760 Inglis Street; Halifax; NS,Laundry (In Building),,
,,Yes,Yes,No,Yes,Limited,No,Outdoors only,Yard;;,100,3+,Month-to-month,1 + Den,1,Basement,$1450,Middle Sackville; NS B4E 3A7,,,
,;Internet;,No,Yes,No,Yes,No,No,No,,2,1,Month-to-month,2,2,Apartment,$900,Regency Park Dr; Halifax; NS B3S,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,6450 Bayers Road; Halifax; NS; B3L 0C7,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,1,1 Year,2,2,Apartment,$2325,420 Larry Uteck Boulevard; Halifax; NS; B3M 0G5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,Yes,No,Yes,No,No,No,Yard;Balcony;,1,0,1 Year,3,1,House,$3200,Halifax; NS B3L 3G8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,775,0,1 Year,1,1,Apartment,$1675,37 Main Ave; Halifax; NS B3M 1A2,,,
;;;;;;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,Not Available,0,1 Year,2,1,Apartment,$2295,5511 Charles St.; Halifax; NS; B3K 1K1,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,No,,Not Available,1,1 Year,1,1,Basement,$1450,3248 Veith Street; Halifax; NS; B3K 3H1,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,Outdoors only,;Balcony;,2;500,1,1 Year,3,1.5,Townhouse,$2250,Bedford Highway; Halifax; NS B3M 2J2,Laundry (In Unit),,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,Yes,Yes,No,Yes,No,Yard;;,600,1,1 Year,1,1,Apartment,$2350,Henry Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,667,0,1 Year,1,1,Apartment,$1975,2334 Longard Plaza; Halifax; NS; B3K 5K6,Laundry (In Building),,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,,700,0,1 Year,1,1,Apartment,Please Contact,North St; Halifax; NS; B3M 2B3,,,
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,No,No,Yes,Limited,Yes,Outdoors only,,914,1,1 Year,2,1.5,Condo,$2500,45 Vimy Avenue; Halifax; NS,Laundry (In Unit),,
,,No,No,Yes,No,No,Yes,No,Yard;;,900,1,1 Year,2,1,Apartment,$2300,Main Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,Outdoors only,Yard;Balcony;,1;424,2,1 Year,3 + Den,1.5,Townhouse,$2100,266 Charles Road; Timberlea; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,No,No,No,,1;437,0,1 Year,2 + Den,2,Apartment,$4195,5450 Kaye Street; Halifax; NS; B3K 0G7,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5415 Victoria Road; Halifax; NS; B3H 4K5,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1015 Barrington Street; Halifax; NS; B3H 4R4,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
,,No,,,,No,No,No,,500,1,1 Year,1 + Den,1,Apartment,Please Contact,6299 South St; Halifax; NS B3H 4J1,,,
,,No,,,,Limited,No,Outdoors only,Yard;Balcony;,2;600,2,1 Year,4,2,House,$4000,McLean Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,,1;000,1,1 Year,2,1,Condo,$2350,131 Farnham Gate Rd; Halifax; NS B3M 4A4,,,
;;;;;Storage Space;;,,No,No,No,Yes,Yes,Yes,Outdoors only,Yard;Balcony;,650,0,1 Year,2,1,Apartment,$2200,Halifax; NS B3R 1W4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,Outdoors only,,1;800,1,1 Year,3,1,House,$3000,Halifax; NS B3H 2S9,Laundry (In Unit),,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,,100,0,1 Year,Bachelor/Studio,1,Apartment,$800,Halifax; NS B3M 3W8,,,
,,No,,,,No,No,No,,650,1,1 Year,1,1,House,$1500,8 Higgins Ave; Beechville; NS B3T 1A7,,,
,,Yes,,,,Limited,No,Yes,,1;050,1,1 Year,1,1,Basement,$1600,38 Travertine Ct; Halifax; NS B3R 1X6,,,
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,705,0,1 Year,1,1,Apartment,$1975,Gladstone Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,Yes,Outdoors only,Yard;Balcony;,1;000,2,1 Year,2,1,House,$2250,12 Parkmoor Ave; Halifax; NS B3R 1B4,Laundry (In Unit),,Fridge / Freezer
,,No,,,,Limited,Yes,No,Yard;Balcony;,Not Available,2,1 Year,3 + Den,3,House,$2800,John Brackett Drive; Herring Cove; NS; B3V 1G8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,;Balcony;,550,0,1 Year,2,1,Apartment,$2400,Young Ave; Halifax; NS B3H 2V3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,Yes,No,,500,0,1 Year,1,1,Apartment,$1350,2709 Agricola St; Halifax; NS B3K 4C7,,,
,,No,Yes,Yes,Yes,Yes,No,No,Yard;;,950,2,1 Year,2,1,House,$2600,713 St Margarets Bay Rd; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,No,Limited,No,No,,Not Available,0,1 Year,2,2,Apartment,$2450,333 Main Avenue; Halifax; NS; B3S 0B6,Laundry (In Unit),,
,,No,No,No,Yes,Yes,Yes,No,,1;000,0,1 Year,2,1.5,Apartment,$2395,Lucknow Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,Outdoors only,;Balcony;,2;199,1,1 Year,3,4,Townhouse,$2500,Tarragon Lane; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,No,No,No,Yes,Limited,No,No,,750,0,1 Year,2,1,Apartment,$2100,Halifax; NS B3K 3R8,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,;Internet;,Yes,Yes,Yes,Yes,No,Yes,No,;Balcony;,521,1,Month-to-month,1,1,Apartment,$1900,Seymour Street; Halifax; NS,Laundry (In Unit),,
;;;;;;Elevator in Building;,,No,Yes,No,Yes,No,No,No,,Not Available,0,1 Year,1,1,Apartment,$1750,49-57 Melrose Avenue; Halifax; NS; B3N 2E5,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,Yes,Yes,Yes,Yes,Outdoors only,;Balcony;,1;200,0,Month-to-month,2,1.5,Apartment,$1250,Barkton Ln; Halifax; NS B3M,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,,,,Yes,No,No,;Balcony;,507,0,1 Year,Bachelor/Studio,1,Apartment,$2030,1920 Brunswick Street; Halifax; NS; B3J 0C5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,;Balcony;,850,1,1 Year,2,1,Apartment,$2100,Churchill Drive; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
,;Internet;,No,,,,No,No,Yes,,1;300,0,Month-to-month,2,1,Apartment,$450,235 Willett St; Halifax; NS B3M 3M9,Laundry (In Building),,Fridge / Freezer
,,Yes,No,No,Yes,No,No,Outdoors only,Yard;;,500,1,1 Year,1,1,Basement,$1650,Lakeside; NS B3T 1M4,Laundry (In Unit),,Fridge / Freezer
;;;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,No,No,Yes,No,No,No,,420,0,1 Year,Bachelor/Studio,1,Apartment,$1350,5681 Rhuland St; Halifax; NS B3H 4J6,Laundry (In Building),,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,Outdoors only,,500,0,1 Year,1,1,Apartment,$1860,5651 Ogilvie Street; Halifax; NS,Laundry (In Building),,
,Cable / TV;Internet;,Yes,Yes,Yes,Yes,Limited,No,Outdoors only,Yard;;,2;400,0,Month-to-month,5+,2,House,$850,Beech Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,No,No,Yard;;,700,1,1 Year,1,1,Townhouse,$1300,Upper Sackville; NS B4E 3C7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,Yes,Yes,No,No,Outdoors only,Yard;Balcony;,3;500,1,Month-to-month,2,2,House,$990,Halifax; NS B3H 3X2,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,2,2,Apartment,$3100,5633 Fenwick St.; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,,Not Available,0,1 Year,1,1,Apartment,$2195,5623 Fenwick Street; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,2,1.5,Apartment,$2450,5633 Fenwick St.; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,;Balcony;,800,1,1 Year,1,1,Apartment,$1425,Halifax; NS B3M 4L5,Laundry (In Building),,
;;;;;;Elevator in Building;,,No,Yes,No,Yes,No,No,No,;Balcony;,1;050,1,1 Year,2,1.5,Apartment,$2095,Caxton Close; Halifax; NS,Laundry (In Building),,
,;Internet;,Yes,Yes,Yes,Yes,Limited,No,No,,1;200,1,Month-to-month,4,1,House,$800,South St; Halifax; NS B3H 1S9,Laundry (In Unit),Dishwasher,Fridge / Freezer
;Pool;;;;;;,,No,No,No,Yes,No,No,No,,850,1,1 Year,2,1,Condo,$2000,Willett St; Halifax; NS; B3M3C8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,,,,Limited,No,No,Yard;Balcony;,Not Available,3+,1 Year,2,1,House,$2200,Locke St.; Bedford; NS; B4A 1N1,Laundry (In Unit),,Fridge / Freezer
;;;;;;Elevator in Building;,;Internet;,Yes,Yes,Yes,Yes,Limited,No,No,;Balcony;,500,0,Month-to-month,Bachelor/Studio,1,Apartment,$1400,Halifax; NS B3J 1J4,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,No,Yes,Outdoors only,Yard;;,800,1,1 Year,2,1,Apartment,$2100,Main Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,Yard;;,550,1,1 Year,2,1,Basement,$1900,Halifax; NS B3N,Laundry (In Unit),,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1839,85 Westgrove; 241 Willett Street; 235 Willett Street; Halifax; NS; B3M 3L7,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,1,1,Apartment,Please Contact,5651 Ogilvie Street; Halifax; NS; B3H 1B9,Laundry (In Building),,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,4;400,0,1 Year,3,3,House,$3995,12 Palmer Hill; Halifax; NS; B3N 1S5,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,Yes,Outdoors only,Yard;;,800,1,1 Year,2,1,Apartment,$2300,Main Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,No,No,No,Yes,Yes,No,Outdoors only,Yard;Balcony;,1;686,2,1 Year,3,1.5,House,$3150,Sentinel Square; Halifax; NS B3K,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,No,No,,820,1,1 Year,2,1,Apartment,$1395,NS-103; Lakeside; B3T,Laundry (In Building),,Fridge / Freezer
Gym;;;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,No,No,Yes,Yes,Yes,No,;Balcony;,1;540,1,1 Year,2,2,Condo,$3300,Halifax; NS B3H 3R7,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;;;;Elevator in Building;,,Yes,No,No,Yes,No,Yes,No,;Balcony;,698,1,1 Year,2,1,Apartment,$1800,Halifax; NS B3J 3L4,Laundry (In Unit),,
;;;;;;Elevator in Building;,,No,Yes,No,No,Limited,No,No,;Balcony;,356,0,1 Year,Bachelor/Studio,1,Apartment,$1800,5778 South St.; Halifax; NS; B3H 4N5,Laundry (In Building),,
;;;;;;Elevator in Building;,,No,Yes,No,No,Limited,No,No,;Balcony;,562,0,1 Year,1,1,Apartment,$2100,5778 South St.; Halifax; NS; B3H 4N5,Laundry (In Building),,
;Pool;;;;;;,,No,No,No,Yes,No,No,No,;Balcony;,901,1,1 Year,2 + Den,1,Condo,$2300,River Lane; Bedford; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,Yes,No,Yes,Yes,No,Outdoors only,Yard;Balcony;,600,0,1 Year,1,1,Duplex/Triplex,$1900,Halifax; NS B3L 3A9,Laundry (In Unit),,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,1;053,0,1 Year,3,1,Apartment,$3070,2334 Longard Plaza; Halifax; NS; B3K 5K6,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,720,0,1 Year,1,1.5,Apartment,$2295,5665 Roberts Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;Pool;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,768,0,1 Year,1,1,Apartment,$2250,1881 Brunswick Street; Halifax; NS; B3J 3L8,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,Yard;Balcony;,2;184,2,1 Year,3,1.5,House,$2700,Barry Crescent; Herring Cove; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,No,,1;090,0,1 Year,2,1.5,Apartment,$2900,5633 Fenwick St.; Halifax; NS; B3H 1R1,,,
,,No,,,,Limited,No,No,,840,0,1 Year,2,1,Apartment,$2600,5633 Fenwick St.; Halifax; NS; B3H 1R1,,,
Gym;;;24 Hour Security;;;Elevator in Building;,,No,Yes,No,Yes,Limited,Yes,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$2450,5633 Fenwick St.; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,450,0,1 Year,Bachelor/Studio,1,Apartment,$1995,5633 Fenwick St.; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Yes,No,Outdoors only,;Balcony;,650,1,1 Year,1,1,Apartment,$2200,960 Barrington St; Halifax; B3H 2P7,Laundry (In Building),Dishwasher,Fridge / Freezer
,;Internet;,No,Yes,No,Yes,Limited,No,Outdoors only,;Balcony;,1;200,1,1 Year,2 + Den,1.5,Apartment,$1000,Halifax; NS B3J 1A5,Laundry (In Building),Dishwasher,Fridge / Freezer
,;Internet;,Yes,Yes,Yes,Yes,Limited,Yes,No,;Balcony;,1;000,1,1 Year,2,1,Apartment,$2950,Halifax; NS B3H 2B1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,Yes,Yes,Yes,Limited,Yes,No,,1,0,Month-to-month,4,1,Apartment,$3500,Halifax; NS B3J 2E9,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,No,,900,0,1 Year,2,1,Apartment,$1949,6416 London St; Halifax; NS B3L 1X4,,,
,,No,Yes,No,No,Limited,Yes,No,Yard;;,850,1,1 Year,2,1,Basement,$1900,Halifax; NS B3R 1R3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,No,Limited,No,No,Yard;Balcony;,1;500,2,1 Year,3,2,House,$2700,Halifax; NS B3R 1R3,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,820,0,1 Year,1,1,Apartment,$1935,26 Carrington PL; Halifax; NS; B3S 1J8,Laundry (In Unit),,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,,1;000,0,1 Year,1,1,Apartment,Please Contact,North St; Halifax; NS; B3M 2B3,,,
Gym;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,750,0,1 Year,2,1,Apartment,$2600,5633 Fenwick St.; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,;Balcony;,1;100,0,1 Year,2,1.5,Apartment,$2900,5633 Fenwick St.; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,,,,No,Yes,No,,1,0,1 Year,1,1,Apartment,$1100,56 Walter Havill Dr; Halifax; NS B3N 0C3,,,
,,No,,,,Limited,No,Outdoors only,Yard;Balcony;,2;300,2,1 Year,3,3.5,House,Please Contact,Transom Drive; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,;Internet;,No,Yes,No,Yes,No,No,Outdoors only,Yard;Balcony;,900,1,1 Year,2,1,Basement,$2250,Halifax; NS B3N 2M8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,Yes,No,,300,1,Month-to-month,Bachelor/Studio,1,Apartment,$1600,Halifax; NS; B3H 3M5,,,
,,Yes,,,,Limited,No,Outdoors only,,2;110,1,1 Year,1,1,Condo,$2200,Coburg Road; Halifax; NS,Laundry (In Building),,Fridge / Freezer
,,No,,,,Limited,No,Outdoors only,Yard;;,900,0,1 Year,2,1,Duplex/Triplex,$846,Halifax; NS B3K 4N2,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,Yes,Yes,No,;Balcony;,Not Available,1,1 Year,2,1,Apartment,$2000,586 Pockwock Road; Upper Hammonds Plains; NS; B2N 1N2,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,Yes,Yes,Yes,Yes,No,,790,0,1 Year,1,1,Apartment,$2100,6433 Young Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,;Internet;,Yes,Yes,Yes,Yes,No,No,No,,1;200,0,Month-to-month,1,2,Apartment,$930,Seymour Street; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Limited,Yes,No,,560,0,1 Year,1,1,Condo,$2050,Halifax; NS B3K 1H7,Laundry (In Unit),,
Gym;Pool;Concierge;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,No,No,Yes,Limited,Yes,Outdoors only,;Balcony;,700,1,1 Year,2,2,Condo,$2900,1048 Wellington Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1839,85 Westgrove; 241 Willett Street; 235 Willett Street; Halifax; NS; B3M 3L7,Laundry (In Building),,Fridge / Freezer
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,No,Yes,No,;Balcony;,Not Available,0,1 Year,1 + Den,1,Apartment,Please Contact,230 Larry Uteck Blvd; Bedford; NS; B3N 0N1,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
